Nome,Ano,Problema,Interpretação,Estratégia,Cálculo/Técnica,Resposta,Interpretação_Comprimento,Estratégia_Comprimento,Cálculo/Técnica_Comprimento,Resposta_Comprimento,Cluster_Interpretacao,Cluster_Estratégia,Cluster_Cálculo/Técnica,Cluster_Resposta
Estudante 1,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Ver quanto ele ganha, tirar o gasto e dividir.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",73,46,38,27,1,1,0,0
Estudante 2,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago trabalha 5 dias, ganha 12 por dia, tira 15 e divide o que sobra por 3.","Ver quanto ele ganha, tirar o gasto e dividir.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu -R$1,00.",77,46,38,27,0,1,0,2
Estudante 3,8,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago trabalha 5 dias na semana e ganha 12 reais por dia, gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.","Somar tudo, tirar 15 e dividir por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$0,66.",141,37,38,26,0,2,0,1
Estudante 4,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu -R$1,00.",133,96,38,27,0,0,0,2
Estudante 5,7,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",133,96,38,27,0,0,0,0
Estudante 6,7,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu -R$1,00.",73,96,38,27,1,0,0,2
Estudante 7,7,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Multiplicar 12 por 5, subtrair 15 e dividir por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",73,50,38,27,1,2,0,0
Estudante 8,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Multiplicar 12 por 5, subtrair 15 e dividir por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu -R$1,00.",73,50,38,27,1,2,0,2
Estudante 9,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago trabalha 5 dias, ganha 12 por dia, tira 15 e divide o que sobra por 3.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",77,96,38,27,0,0,0,0
Estudante 10,8,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago trabalha 5 dias na semana e ganha 12 reais por dia, gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",141,96,38,27,0,0,0,0
Estudante 11,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Multiplicar 12 por 5, subtrair 15 e dividir por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",133,50,38,27,0,2,0,0
Estudante 12,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago vende água e doces, ganha 12 reais por dia, gasta 15 e divide o resto.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu -R$1,00.",77,96,38,27,2,0,0,2
Estudante 13,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Ver quanto ele ganha, tirar o gasto e dividir.","12 + 5 = 17; 17 - 15 = 2; 2 / 3 = 0,66","Cada irmão recebeu R$15,00.",133,46,38,27,0,1,1,0
Estudante 14,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Multiplicar 12 por 5, subtrair 15 e dividir por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",73,50,38,27,1,2,0,0
Estudante 15,7,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Multiplicar 12 por 5, subtrair 15 e dividir por 3.",12 - 15 = -3; -3 / 3 = -1,"Cada irmão recebeu R$15,00.",73,50,25,27,1,2,2,0
Estudante 16,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago trabalha 5 dias na semana e ganha 12 reais por dia, gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 - 15 = -3; -3 / 3 = -1,"Cada irmão recebeu R$0,66.",141,96,25,26,0,0,2,1
Estudante 17,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Ver quanto ele ganha, tirar o gasto e dividir.",12 - 15 = -3; -3 / 3 = -1,"Cada irmão recebeu R$15,00.",133,46,25,27,0,1,2,0
Estudante 18,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",133,96,38,27,0,0,0,0
Estudante 19,8,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago trabalha 5 dias na semana e ganha 12 reais por dia, gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.","Ver quanto ele ganha, tirar o gasto e dividir.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",141,46,38,27,0,1,0,0
Estudante 20,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.","12 + 5 = 17; 17 - 15 = 2; 2 / 3 = 0,66","Cada irmão recebeu R$15,00.",73,96,38,27,1,0,1,0
Estudante 21,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago vende água e doces, ganha 12 reais por dia, gasta 15 e divide o resto.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.","12 + 5 = 17; 17 - 15 = 2; 2 / 3 = 0,66","Cada irmão recebeu R$15,00.",77,96,38,27,2,0,1,0
Estudante 22,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",133,96,38,27,0,0,0,0
Estudante 23,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Ver quanto ele ganha, tirar o gasto e dividir.","12 + 5 = 17; 17 - 15 = 2; 2 / 3 = 0,66","Cada irmão recebeu R$15,00.",73,46,38,27,1,1,1,0
Estudante 24,7,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Multiplicar 12 por 5, subtrair 15 e dividir por 3.",12 - 15 = -3; -3 / 3 = -1,"Cada irmão recebeu R$15,00.",133,50,25,27,0,2,2,0
Estudante 25,7,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago vende água e doces, ganha 12 reais por dia, gasta 15 e divide o resto.","Somar tudo, tirar 15 e dividir por 3.","12 + 5 = 17; 17 - 15 = 2; 2 / 3 = 0,66","Cada irmão recebeu R$0,66.",77,37,38,26,2,2,1,1
Estudante 26,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?",Thiago ganha 12 reais por dia de segunda a sexta e gasta 15 reais para comprar água e doces e divide o que sobra entre seus 3 irmãos.,"Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 - 15 = -3; -3 / 3 = -1,"Cada irmão recebeu -R$1,00.",133,96,25,27,0,0,2,2
Estudante 27,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago vende água e doces, ganha 12 reais por dia, gasta 15 e divide o resto.","Somar tudo, tirar 15 e dividir por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$0,66.",77,37,38,26,2,2,0,1
Estudante 28,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Ver quanto ele ganha, tirar o gasto e dividir.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$0,66.",73,46,38,26,1,1,0,1
Estudante 29,9,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago tem um gasto de 15 reais e ganha 12 reais por dia, e tem 3 irmãos.","Multiplicar 12 por 5, subtrair 15 e dividir por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",73,50,38,27,1,2,0,0
Estudante 30,8,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago vende água e doces, ganha 12 reais por dia, gasta 15 e divide o resto.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",77,96,38,27,2,0,0,0
Estudante 31,8,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago trabalha 5 dias, ganha 12 por dia, tira 15 e divide o que sobra por 3.","Calcular o total ganho na semana, subtrair o gasto com compras e dividir o valor restante por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu R$15,00.",77,96,38,27,0,0,0,0
Estudante 32,8,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago vende água e doces, ganha 12 reais por dia, gasta 15 e divide o resto.","Multiplicar 12 por 5, subtrair 15 e dividir por 3.",12 x 5 = 60; 60 - 15 = 45; 45 / 3 = 15,"Cada irmão recebeu -R$1,00.",77,50,38,27,2,2,0,2
Estudante 33,6,"Thiago é um pequeno comerciante. Ele trabalha de segunda a sexta-feira vendendo água e doces. Na semana passada, ele arrecadou R$ 12,00 por dia de trabalho. Desse valor, ele usou R$ 15,00 para comprar água e doces para vender na semana seguinte e o que sobrou ele deu para seus três irmãos. Quanto cada irmão de Thiago recebeu?","Thiago vende água e doces, ganha 12 reais por dia, gasta 15 e divide o resto.","Somar tudo, tirar 15 e dividir por 3.","12 + 5 = 17; 17 - 15 = 2; 2 / 3 = 0,66","Cada irmão recebeu R$15,00.",77,37,38,27,2,2,1,0
